aligned_dna_short_read_set_id,aligned_dna_short_read_id
PMGRC-426-426-0_LS4073366_SQ6062_1,PMGRC-426-426-0_LS4073366_SQ6062_1
PMGRC-427-426-2_LS4073390_SQ6130_1,PMGRC-427-426-2_LS4073390_SQ6130_1
PMGRC-428-426-1_LS4073391_SQ6064_1,PMGRC-428-426-1_LS4073391_SQ6064_1
PMGRC-429-429-0_LS4073399_SQ6072_1,PMGRC-429-429-0_LS4073399_SQ6072_1
PMGRC-43-43-0_LS3516183_SQ6069_1,PMGRC-43-43-0_LS3516183_SQ6069_1
PMGRC-430-429-2_LS4073392_SQ6065_1,PMGRC-430-429-2_LS4073392_SQ6065_1
PMGRC-431-431-0_LS4073384_SQ6126_1,PMGRC-431-431-0_LS4073384_SQ6126_1
PMGRC-432-431-1_LS4073386_SQ6127_1,PMGRC-432-431-1_LS4073386_SQ6127_1
PMGRC-433-431-2_LS4073397_SQ6070_1,PMGRC-433-431-2_LS4073397_SQ6070_1
PMGRC-434-434-0_LS4073394_SQ6067_1,PMGRC-434-434-0_LS4073394_SQ6067_1
PMGRC-435-434-2_LS4073372_SQ6114_1,PMGRC-435-434-2_LS4073372_SQ6114_1
PMGRC-436-434-1_LS4073373_SQ6115_1,PMGRC-436-434-1_LS4073373_SQ6115_1
PMGRC-437-437-0_LS4073379_SQ6121_1,PMGRC-437-437-0_LS4073379_SQ6121_1
PMGRC-438-437-1_LS4073402_SQ6075_1,PMGRC-438-437-1_LS4073402_SQ6075_1
PMGRC-439-437-2_LS4073380_SQ6122_1,PMGRC-439-437-2_LS4073380_SQ6122_1
PMGRC-44-43-2_LS3516182_SQ6068_1,PMGRC-44-43-2_LS3516182_SQ6068_1
PMGRC-440-440-0_LS4073382_SQ6124_1,PMGRC-440-440-0_LS4073382_SQ6124_1
PMGRC-441-440-2_LS4073370_SQ6112_1,PMGRC-441-440-2_LS4073370_SQ6112_1
PMGRC-442-440-1_LS4073401_SQ6074_1,PMGRC-442-440-1_LS4073401_SQ6074_1
PMGRC-443-443-0_LS4073378_SQ6120_1,PMGRC-443-443-0_LS4073378_SQ6120_1
